uniqueid,text,text_translated,media,source,mode,num_persons,_timestamp,confidence,source_reliability,locations,origin_bool,origin,destination,geom_tweet,triage_status
1,الخطوط تنقل 275 مهاجراً من أنقرة إلى بغداد https://t.co/kJF9pQdLet,the lines carry 275 migrants from ankara to baghdad,,twitter,,275,2019-12-11 16:31:09.000000,0.58,0.00,"['ankara', 'baghdad']",,TR510,,01010000003BDF4F8D976E40409CC420B072F84340,
2,"RT @KAR_SH_313: تم الرفس
صيد اليوم من حدود الشرقاط
#جاري_تحميل_الرمادي
دواعش اليوم سماد الغد

#سنرعبهم_في_الاربعين_لبيك_يا_حسين https://t.c…",kar sh 313 has been launched todays hunt from the borders of irqat downloads radadi,['http://pbs.twimg.com/media/CUSHB2mUAAEg0_w.jpg'],twitter,,313,2019-12-13 20:49:57.000000,0.57,0.17,[],,,,,
3,السلطات التركية توقف 1300 مهاجر قبل إبحارهم إلى اليونان https://t.co/GNWgzhBv5d أخبار,turkish authorities stop 1300 migrants before sailing to greece news,,twitter,,1300,2019-12-23 21:31:23.000000,0.90,0.23,['greece'],,,EL,010100000000000000000036400000000000804340,
4,"البحرية الإيطالية: أكثر من 1500 مهاجر تم إنقاذهم قبالة سواحل ليبيا
#الموصلية",italian navy more than 1500 migrants rescued off the coast of libya,,twitter,,1500,2019-12-26 19:33:11.000000,0.68,0.83,"['libya', 'italia']",,,,01010000009031772D215F2A40C139234A7B734040,
5,"RT @20fourMedia: #تركيا توقف لاجئين أثناء توجههم لـ #اليونان
https://t.co/CjDWK2GH3f https://t.co/21sYzUTGGw",20fourmedia turkey stopped refugees while heading for greece,['http://pbs.twimg.com/media/CVYfgd9XAAE5JuX.jpg'],twitter,,,2019-12-27 12:50:19.000000,0.86,0.12,"['greece', 'turkey']",,,,010100000000000000000036400000000000804340,
6,مقدونيا تفتح حدودها مع اليونان للاجئين  https://t.co/qEdXvrDVI7,macedonia opens border with greece for refugees,,twitter,,,2019-12-27 14:16:27.000000,0.79,0.85,"['macedonia', 'greece']",,,,0101000000575BB1BFEC6E35400000000000004540,
7,RT @paldf: إغلاق #معبر_رفح بعد ظهر اليوم السبت بعد خروج 1526 من #غزة، ودخول 564 من العالقين إلى #غزة، وعودة 36 فلسطينياً كانوا في السجون ال…,rafah crossing closed on saturday afternoon after 1526 out of gaza 564 people stranded in gaza and 36 palestinians returned to prison,,twitter,,,2019-12-28 14:18:28.000000,0.74,0.29,"['rafah', 'gaza']",,,,01010000009A99999999394140DCD7817346843F40,
8,RT @PalinfoAr: إغلاق #معبر_رفح بعد ظهر اليوم السبت بعد خروج 1526 من #غزة، ودخول 564 من العالقين إلى #غزة، وعودة 36 فلسطينياً كانوا في السجو…,rafah crossing closed on saturday afternoon after 1526 out of gaza 564 people stranded in gaza 36 palestinians returned,,twitter,,,2019-12-28 14:22:18.000000,0.99,0.22,"['rafah', 'gaza']",,,,01010000009A99999999394140DCD7817346843F40,
9,RT @AlArabiya_Brk: وسائل إعلام تركية: مقتل 18 مهاجرا بعد غرق قاربهم في بحر إيجه #العربية_عاجل,turkish media 18 migrants killed after their boat sank in the aegean sea,,twitter,boat,18,2020-01-11 07:56:14.000000,0.51,0.37,['aegean sea'],,,,01010000003333333333F336400000000000804340,
10,"Retweeted تيّار المستقبل (@Almustaqbal):

مقتل 18 مهاجرا غرقا في بحر ايجه
https://t.co/7fpCjwbEYp https://t.co/jFvFbxRcSz",the future stream 18 migrants drowned in aegean sea,,twitter,,18,2020-01-11 11:23:13.000000,0.62,0.04,['aegean sea'],,,,01010000003333333333F336400000000000804340,
11,RT @AlArabiya_Brk: غرق 11 لاجئا لدى عبورهم من تركيا بينهم 3 أطفال #العربية_عاجل,11 refugees drowned when crossing from turkey including 3 children,,twitter,,11,2020-01-14 12:27:25.000000,0.79,0.00,['turkey'],,TR,,01010000003BDF4F8D976E40409CC420B072F84340,
12,اخبار مصر الان اليونان: غرق 13 مهاجرًا بينهم 7 أطفال في بحر إيجة https://t.co/EX22e8z9CN https://t.co/I5eXoPxtnG,egypt 13 migrants sank including 7 children in the aegean sea,['http://pbs.twimg.com/media/CW6SD9uVAAArXtv.jpg'],twitter,,,2020-01-15 12:34:21.000000,0.72,0.20,"['aegean sea', 'egypt']",,,,0101000000ED0DBE30993A3F40C9E53FA4DF0E3E40,
13,RT @AJABreaking: عاجل | وكالة الأناضول: مصرع 9 لاجئين بينهم أطفال وإنقاذ 21 بعد غرق قاربهم في بحر إيجه,urgent anatolia 9 refugees including children were rescued and 21 rescued after their boat sank in the aegean sea,,twitter,boat,9,2020-01-16 09:22:50.000000,0.52,0.27,['aegean sea'],,,,01010000003333333333F336400000000000804340,
14,RT @AlMayadeenLive: #لبنان: وصول الحافلات التي تقل جرحى الزبداني إلى جديدة يابوس عند الحدود السورية اللبنانية,lebanon buses carrying zabadani wounded arrive at jadida yabous at syrian lebanese border,,twitter,bus,,2020-01-20 11:04:05.000000,0.51,0.00,"['zabadani', 'lebanon', 'syria']",,,,0101000000EA95B20C710C4240CDCCCCCCCCDC4040,
15,الأردن يستقبل 121 لاجئا سوريا خلال الثمانى والأربعين ساعة الماضية https://t.co/kHtWr8dGha,jordan receives 121 syrian refugees during the last 48 hours,,twitter,,121,2020-01-23 15:04:50.000000,0.55,0.21,"['jordan', 'syria']",,,,0101000000BADA8AFD65F74140DE02098A1FF33F40,
16,"ارتفاع وتيرة عودة اللاجئين السوريين إلى بلادهم من تركيا
http://t.co/Gh1POVuNSn",high frequency of syrian refugees returning home from turkey,,twitter,,,2019-05-27 13:04:07.000000,0.87,0.38,"['turkey', 'syria']",,TR,,01010000003BDF4F8D976E40409CC420B072F84340,
17,"خفر السواحل التركي ينقذ 636 مهاجراً حاولوا عبور بحر «إيجة»

#تركيا",turkish coast guard rescues 636 migrants who tried to cross the aegean sea,,twitter,,636,2019-05-28 18:55:22.000000,0.83,0.25,['aegean sea'],,,,01010000003333333333F336400000000000804340,
18,وتبقى أزمة الشرعية هي المسيطرة داخليا وخارجيا..,the crisis of legitimacy remains domineering internally and externally,,twitter,,,2019-06-17 14:55:19.000000,0.59,0.04,[],,,,,
19,ليبيا تحتجز مئات المهاجرين غير النظاميين قبل إبحارهم لأوروبا http://t.co/W7aQcb8dk9,libya detains hundreds of irregular migrants before sailing to europe,,twitter,,,2019-06-09 15:45:07.000000,0.74,0.73,['libya'],,,,01010000009031772D215F2A40C139234A7B734040,
20,"RT @malahmad11: لاجئون سوريون يطالبون عبر الحدود التركية قطرات من الماء
اللهم ارحم ضعفهم
 http://t.co/vLbvIDPrNa",malahmad11 syrian refugees are demanding across the turkish border drops of water,['http://pbs.twimg.com/media/CHT_ar9UAAAJPuK.jpg'],twitter,,,2019-07-05 16:52:14.000000,0.54,0.17,['syria'],,,,0101000000E8D9ACFA5C254240EFC9C342ADC14040,
21,"RT @malahmad11: لاجئون سوريون يهربون من داعش الى تركيا
 http://t.co/whVQvqGv9C",malahmad11 syrian refugees flee from turkey to turkey,,twitter,,,2019-07-08 22:00:59.000000,0.97,0.36,"['syria', 'turkey', 'turkey']",,,TR,0101000000E8D9ACFA5C254240EFC9C342ADC14040,
